Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 29 Sep 2018 (W39),Chelsea FC (7),1-1,1-0,Liverpool FC (7)
?,(Sat) 29 Sep 2018 (W39),Everton FC (7),3-0,0-0,Fulham FC (7)
?,(Sat) 29 Sep 2018 (W39),Huddersfield Town AFC (7),0-2,0-2,Tottenham Hotspur FC (7)
?,(Sat) 29 Sep 2018 (W39),Manchester City FC (7),2-0,1-0,Brighton & Hove Albion FC (7)
?,(Sat) 29 Sep 2018 (W39),Newcastle United FC (7),0-2,0-1,Leicester City FC (7)
?,(Sat) 29 Sep 2018 (W39),West Ham United FC (7),3-1,2-0,Manchester United FC (7)
?,(Sat) 29 Sep 2018 (W39),Wolverhampton Wanderers FC (7),2-0,0-0,Southampton FC (7)
?,(Sun) 30 Sep 2018 (W39),Cardiff City FC (7),1-2,0-0,Burnley FC (7)
?,(Mon) 1 Oct 2018 (W40),AFC Bournemouth (7),2-1,1-0,Crystal Palace FC (7)
?,(Fri) 5 Oct 2018 (W40),Brighton & Hove Albion FC (8),1-0,1-0,West Ham United FC (8)
?,(Sat) 6 Oct 2018 (W40),Burnley FC (8),1-1,1-0,Huddersfield Town AFC (8)
?,(Sat) 6 Oct 2018 (W40),Crystal Palace FC (8),0-1,0-0,Wolverhampton Wanderers FC (8)
?,(Sat) 6 Oct 2018 (W40),Leicester City FC (8),1-2,1-1,Everton FC (8)
?,(Sat) 6 Oct 2018 (W40),Manchester United FC (8),3-2,0-2,Newcastle United FC (8)
?,(Sat) 6 Oct 2018 (W40),Tottenham Hotspur FC (8),1-0,1-0,Cardiff City FC (8)
?,(Sat) 6 Oct 2018 (W40),Watford FC (8),0-4,0-3,AFC Bournemouth (8)
?,(Sun) 7 Oct 2018 (W40),Fulham FC (8),1-5,1-1,Arsenal FC (8)
?,(Sun) 7 Oct 2018 (W40),Liverpool FC (8),0-0,0-0,Manchester City FC (8)
?,(Sun) 7 Oct 2018 (W40),Southampton FC (8),0-3,0-1,Chelsea FC (8)
?,(Sat) 20 Oct 2018 (W42),AFC Bournemouth (9),0-0,0-0,Southampton FC (9)
